Experience,Education,Skills,Department,Age,Salary
10,Master's,Java,Sales,34,439302
15,Diploma,Python,Operations,39,556083
9,Diploma,Python,Finance,34,412457
8,PhD,Power BI,IT,30,383540
11,Bachelor's,Java,HR,34,462967
7,Diploma,Communication,HR,29,360232
0,Bachelor's,Communication,HR,23,184234
8,Master's,Java,Sales,32,394891
12,Diploma,Power BI,IT,37,497481
3,PhD,Excel,IT,28,269653
20,Bachelor's,Python,IT,42,691718
16,Master's,Communication,Marketing,37,587682
6,PhD,Java,Operations,27,349106
3,PhD,SQL,Sales,26,272133
12,PhD,Excel,Operations,35,516827
20,Diploma,SQL,Finance,41,699940
4,Bachelor's,Communication,Finance,30,288931
18,Bachelor's,Python,Finance,44,658182
17,12th,Power BI,IT,43,628173
16,Diploma,SQL,IT,40,593026
7,12th,SQL,Marketing,31,375903
15,12th,Excel,Operations,36,581567
2,12th,Python,Operations,27,266965
16,12th,Java,HR,42,597061
1,12th,SQL,IT,23,209670
5,12th,Power BI,Sales,26,325249
8,Diploma,Python,Sales,29,399705
12,12th,Java,Finance,35,510652
5,Master's,Python,Marketing,29,328324
3,12th,SQL,Operations,25,288381
16,Master's,Communication,IT,40,600147
4,12th,Excel,HR,25,293409
5,Diploma,Python,Marketing,27,320393
12,12th,Communication,HR,33,518052
19,Bachelor's,Excel,Operations,43,668510
19,12th,Communication,Operations,41,675824
12,12th,Power BI,Sales,37,497976
19,PhD,Java,Finance,40,659652
17,Diploma,Excel,Marketing,40,614287
14,12th,SQL,HR,38,542910
4,Bachelor's,Excel,HR,27,295898
0,12th,Java,Finance,26,184886
14,Bachelor's,SQL,Operations,38,561160
17,12th,Excel,Finance,40,637833
12,PhD,Python,Finance,34,508484
4,12th,Java,HR,25,311296
7,12th,Power BI,Finance,32,375669
10,Diploma,Python,IT,34,462190
14,PhD,Power BI,Marketing,36,539023
6,Master's,Python,Operations,28,338448
6,Diploma,Power BI,HR,28,344012
11,PhD,Java,Operations,35,470969
19,Master's,Python,HR,43,667200
19,Diploma,Python,Sales,42,673082
17,Diploma,SQL,Sales,39,626894
20,12th,Power BI,Finance,43,686151
12,Master's,Power BI,Marketing,35,490030
7,Diploma,Java,HR,28,392889
2,Master's,Excel,IT,24,269659
6,Diploma,Communication,Operations,32,344212
19,Diploma,Communication,Sales,41,677973
7,Diploma,Power BI,Operations,30,384921
13,PhD,Excel,Operations,36,523965
0,Bachelor's,Communication,Marketing,26,219558
7,Diploma,Python,Finance,28,377179
0,Master's,Communication,IT,21,188676
17,12th,SQL,Marketing,38,629880
4,Diploma,Excel,Sales,26,299354
10,12th,Excel,IT,34,434009
4,12th,Power BI,IT,30,315318
19,Master's,Excel,Operations,41,679139
9,12th,Excel,Marketing,31,437343
11,Master's,Python,Finance,37,465735
5,PhD,Communication,Sales,28,334832
2,Master's,Python,Finance,27,248754
5,PhD,Communication,Operations,29,310418
5,Diploma,Python,Sales,31,309254
9,Bachelor's,Python,Finance,34,437435
7,PhD,Power BI,Marketing,33,381527
20,Bachelor's,Excel,Marketing,46,685038
5,Bachelor's,Excel,HR,30,306180
20,12th,Python,IT,46,685998
17,Bachelor's,Power BI,Operations,41,631174
7,PhD,Power BI,Operations,29,376428
6,PhD,Excel,HR,28,337332
0,PhD,Excel,Sales,25,193507
5,Bachelor's,SQL,Finance,30,343535
1,PhD,Excel,Finance,24,236835
4,Master's,Power BI,Operations,25,299325
16,Master's,Excel,IT,39,588398
7,12th,Python,Marketing,33,389284
4,Bachelor's,Python,HR,28,294855
5,PhD,Excel,Finance,31,342940
13,Bachelor's,Excel,IT,36,540188
15,Diploma,Excel,Marketing,41,583979
17,Diploma,Python,Operations,38,642422
20,Diploma,SQL,HR,46,697709
0,PhD,Python,Finance,21,209734
20,Diploma,Power BI,Operations,46,709168
10,12th,Power BI,HR,35,444891
